ln_output1802_all,hugue_1700_pc,poploss_keyser,ln_workers1802_all,ln_looms1802_all,mi_ln_input1802_all,no_looms,ln_popcity1802,vieh1816_schaf_ganz_veredelt_pc,pop1816_prot_pc,no_hugue_possible,imputed_dummy,textil_1680_dummy
7.052721024,0,NA,3.713572025,-0.693147182,6.400232315,1,8.539150238,0,0.937324464,0,1,0
7.53369379,0.010740975,NA,2.639057398,2.602689743,6.795705795,0,10.94040203,5.64E-05,0.945908666,0,0,0
8.471986771,0.010740975,NA,3.583518982,3.597312212,7.937374592,0,10.94040203,5.64E-05,0.945908666,0,0,0
11.38924217,0.010740975,NA,5.446737289,3.860729694,11.09527111,0,10.94040203,5.64E-05,0.945908666,0,0,0
10.70092678,0.010740975,NA,5.298317432,4.505349636,10.11940479,0,10.94040203,5.64E-05,0.945908666,0,0,0
7.851661205,0.010740975,NA,2.639057398,2.140066147,7.473069191,0,10.94040203,5.64E-05,0.945908666,0,0,0
8.844480515,0.010740975,NA,5.159055233,-0.693147182,8.535033226,1,10.94040203,5.64E-05,0.945908666,0,0,0
9.461098671,0.010740975,NA,3.135494232,-0.693147182,8.74193573,1,10.94040203,5.64E-05,0.945908666,0,0,0
10.44685745,0.010740975,NA,4.477336884,4.714024544,10.03758144,0,10.94040203,5.64E-05,0.945908666,0,0,0
6.726233482,0.010740975,NA,2.079441547,-0.693147182,6.24804306,1,10.94040203,5.64E-05,0.945908666,0,0,0
6.473890781,0.010740975,NA,1.098612309,0.91629076,6.253829002,0,10.94040203,5.64E-05,0.945908666,0,0,0
9.696647644,0.010740975,NA,3.091042519,-0.693147182,9.0710783,1,10.94040203,5.64E-05,0.945908666,0,0,0
7.170119762,0,NA,2.484906673,-0.693147182,6.142037392,1,7.899895191,0.019823452,0.983852386,0,0,0
6.380122662,0,NA,0,0.405465096,6.142037392,0,7.899895191,0.019823452,0.983852386,0,0,0
6.835184574,0,NA,2.197224617,2.251291752,6.551080227,0,7.421775818,0.033314489,0.955168128,0,0,0
4.382026672,0,NA,1.098612309,-0.693147182,3.555348158,1,7.421775818,0.033314489,0.955168128,0,0,0
7.133296013,0,NA,2.079441547,1.704748034,6.536691666,0,7.697121143,0.033285141,0.933308899,0,0,0
6.763885021,0,NA,2.197224617,-0.693147182,6.33859396,1,7.697121143,0.033285141,0.933308899,0,0,0
6.71538353,0,NA,0.693147182,0.91629076,5.693732262,0,7.196686745,0.033285141,0.996779382,0,0,0
6.109247684,0,NA,1.098612309,-0.693147182,5.187386036,1,7.196686745,0.033285141,0.996779382,0,0,0
5.703782558,0,NA,1.098612309,-0.693147182,5.298317432,1,8.147288322,0.019303706,0.975091875,0,0,0
7.32118845,0,NA,1.609437943,1.252762914,6.756932259,0,8.147288322,0.019303706,0.975091875,0,0,0
6.907755375,0,NA,1.945910096,1.504077435,6.396929741,0,8.147288322,0.019303706,0.975091875,0,0,0
5.56068182,0,NA,1.945910096,-0.693147182,4.499809742,1,7.658227444,0.019303706,0.974004447,0,0,0
7.894318104,0,NA,3.526360512,2.525728703,7.313220501,0,7.658227444,0.019303706,0.974004447,0,0,0
6.095824718,0,NA,1.098612309,-0.693147182,5.010635376,1,7.595890045,0.019303706,0.983663917,0,0,0
6.733401775,0,NA,2.484906673,1.871802211,6.291569233,0,7.595890045,0.019303706,0.983663917,0,0,0
5.105945587,0,NA,0.693147182,-0.693147182,4.317488194,1,7.595890045,0.019303706,0.983663917,0,0,0
5.59842205,0,NA,0.693147182,-0.693147182,4.941642284,1,7.390181541,0.019314403,0.982468426,0,0,0
9.501366615,0,NA,5.288267136,3.624341011,9.148465157,0,7.390181541,0.019314403,0.982468426,0,0,0
4.60517025,0,NA,1.098612309,-0.693147182,3.912023067,1,7.216709614,0.019314403,0.991052985,0,0,0
7.544332027,0,NA,2.833213329,2.67414856,6.946976185,0,7.216709614,0.019314403,0.991052985,0,0,0
6.214608192,0,NA,0,-0.693147182,5.52146101,1,7.216709614,0.019314403,0.991052985,0,0,0
5.010635376,0,-1.112499952,0.693147182,-0.693147182,4.317488194,1,7.273092747,0.019277491,0.948330164,0,0,0
8.407378197,0,-1.112499952,3.401197433,3.020424843,8.069028854,0,7.273092747,0.019277491,0.948330164,0,0,0
7.404887676,0,NA,2.302585125,2.251291752,6.99942255,0,8.665267944,0,0.17201744,1,0,0
5.736572266,0,NA,0.693147182,-0.693147182,5.327876091,1,8.665267944,0,0.17201744,1,0,0
6.946976185,0,NA,1.945910096,2.014903069,6.54102993,0,8.665267944,0,0.17201744,1,0,0
5.192956924,0,NA,1.386294365,-0.693147182,4.787491798,1,7.719130039,0,0.043650795,1,0,0
9.046644211,0,NA,4.077537537,3.749504089,8.641179085,0,7.719130039,0,0.043650795,1,0,0
6.396929741,0,NA,2.564949274,2.251291752,5.991464615,0,7.670428753,0,0.083371095,1,0,0
6.790097237,0,NA,1.609437943,-0.693147182,6.383506775,1,7.670428753,0,0.083371095,1,0,0
4.382026672,0,NA,0,-0.693147182,3.970291853,1,7.23849678,0,0.049711816,1,0,0
7.612336636,0,NA,2.197224617,2.140066147,7.206377506,0,7.23849678,0,0.049711816,1,0,0
6.331501961,0,NA,2.484906673,2.44234705,5.924255848,0,7.712891102,0.010606061,0.157841817,1,0,0
6.72503376,0,NA,1.386294365,-0.693147182,6.318968296,1,7.712891102,0.010606061,0.157841817,1,0,0
7.174724102,0,NA,3.044522524,2.9704144,6.768493176,0,7.842671394,0.010606061,0.036255412,1,0,0
