id,iwm94,hischshr1520m,hischshr1520f,lpop1994,sexr,lareapre
1,-0.356066316,0.37931034,0.229629636,7.996990204,0.977481484,11.22173023
2,-0.543478251,0.308900535,0.254385978,7.362645149,1.120342374,10.62699413
3,-0.204092294,0.226284012,0.226827309,13.1752615,0.974625409,NA
4,-0.449720651,0.171171173,0.158536583,7.62315321,1.025214553,10.85639954
5,-0.201149434,0.173134327,0.18238993,7.64778614,1.181073308,11.54911232
6,-0.505899668,0.265625,0.25,7.312553406,1.017843843,10.34415913
7,-0.206885248,0.167181835,0.154824436,10.7209301,1.021367311,14.36298943
8,-0.513535678,0.285714298,0.264462799,7.180831432,1.090472341,10.80561829
9,NA,0.271889389,0.31122449,NA,1.019124031,11.10694027
10,-0.518703282,0.224137932,0.169491529,6.744059086,0.977203667,10.30745125
11,-0.430107534,0.32846716,0.369127512,7.145195961,1.02290082,10.80031013
12,NA,0.181818187,0.197802201,NA,0.998773754,10.60017872
13,-0.485353947,0.278378367,0.261627913,7.901377201,1.072274446,11.14944172
14,-0.577708006,0.177142859,0.188481674,7.243513107,0.96280086,10.69439602
15,-0.319630861,0.24427481,0.239669427,7.192182064,1.13278389,11.34816837
16,-0.300069302,0.226006195,0.347517729,8.033009529,1.068780661,11.6696558
17,-0.226183906,0.199335545,0.185277924,9.23493576,1.048195958,12.44685936
18,NA,0.201298699,0.165605098,NA,1.032113552,10.73072815
19,NA,0.215384617,0.103225805,NA,1.178841352,10.61631489
20,-0.318656385,0.247311831,0.298474938,7.768110275,1.034584641,11.61468792
21,-0.534169257,0.105263159,0.137404576,7.438383579,1.052419305,10.48754501
22,-0.328831583,0.197879866,0.292173922,8.628555298,1.001088858,12.56126881
23,-0.625598907,0.114035085,0.079166666,7.370230675,1,10.92640591
24,-0.312570512,0.311735928,0.314448118,10.27629185,1.013033867,13.848423
25,-0.511715055,0.341317356,0.260869563,7.03878355,1.123861551,10.87799072
26,-0.421886802,0.246153846,0.261538476,7.275172234,1.051652908,10.77935219
27,-0.164153397,0.180354267,0.259259254,8.519590378,1.183488369,11.95638657
28,-0.160010576,0.324840754,0.311258286,8.365672112,1.066195369,12.7963562
29,0.010800749,0.314977974,0.376543224,7.98139143,1.131201267,11.31432819
30,-0.493897498,0.136904761,0.147651002,7.230563164,1.062376261,9.9518013
31,-0.132597685,0.238556802,0.246693984,12.8578825,0.964791358,16.05488396
32,-0.134584457,0.097435899,0.063333333,7.783224106,1.008515835,12.30333519
33,-0.382829219,0.265984654,0.315186232,8.169336319,1.009800196,11.44595242
34,NA,0.222222224,0.128048778,NA,0.985700667,10.40577698
35,-0.448480368,0.375,0.401639342,7.28619194,1.017647028,10.44639301
36,-0.486133754,0.158620685,0.056962024,7.187657356,1.018608451,10.3822031
37,-0.292753637,0.131868139,0.09142857,7.057036877,1.000779986,10.66569424
38,-0.419038743,0.223404258,0.299578071,7.754910469,1.060356021,11.60552311
39,-0.396103889,0.125,0.072033897,8.265649796,1.009020329,11.54646683
40,NA,0.192452833,0.159521431,NA,1.038029671,10.3791008
41,-0.064047739,0.198215872,0.180958122,11.87310696,0.999677837,15.30843735
42,-0.440624982,0.190909088,0.238095239,7.223295689,0.993913054,10.4488306
43,-0.364418,0.13903743,0.127853885,7.378383636,0.987218499,10.86415863
44,-0.158331186,0.26647833,0.234126985,8.425077438,1.385250688,13.26166821
45,-0.549485326,0.141552508,0.049618322,7.29912138,0.989220023,10.48304558
46,NA,0.247747749,0.178743958,NA,1.018094063,10.61802959
47,-0.222090974,0.074585639,0.030612245,7.614312172,0.970473707,10.98892975
48,-0.23964256,0.185430467,0.07185629,7.196686745,1.142526984,10.24045944
49,-0.600768566,0.132743359,0.182320446,7.87473917,0.967037499,12.36272144
50,-0.253530174,0.10150376,0.050473187,7.466799259,0.969368517,10.65758896
51,-0.263498217,0.128205135,0.148688048,8.115221977,1.354529262,11.01916981
52,-0.445251077,0.196531788,0.163636357,7.509882927,1.048451185,9.599608421
53,-0.422648519,0.100000001,0.100000001,7.565275192,1.03166914,11.31316853
54,-0.416346133,0.189024389,0.060975611,7.017506123,1.142127633,10.77710056
55,0.138285458,0.319017053,0.237414971,10.96578121,1.028840899,14.10179615
56,NA,NA,NA,NA,NA,NA
57,NA,0.25,0.034285713,NA,1.330180526,9.738613129
58,-0.500680268,0.199170128,0.10204082,7.438383579,1.055925965,10.9823904
59,-0.364107013,0.154471546,0.030737706,7.215974808,1.01946044,10.57003403
60,-0.495219886,0.099447511,0.013793103,6.340359211,1.264568806,9.617470741
61,-0.136563867,0.165399238,0.044270832,7.365812778,0.946791351,10.71392918
62,-0.256637156,0.255250871,0.228646904,9.165343285,1.04396534,13.02772999
63,NA,0.102678575,0.018099548,NA,1.16455698,10.37658024
64,NA,0.168776378,0.09565217,NA,1.03034389,10.26534939
65,-0.254793346,0.250626564,0.24501425,7.89580822,1.026764035,10.97534466
66,-0.1265378,0.196891189,0.164222881,7.83518362,1.066639185,11.30426407
67,NA,0.229927003,0.078767121,NA,1.027618527,10.63113308
68,-0.613017738,0.31117022,0.25373134,7.521859169,1.078808308,11.16530895
69,0.068918914,0.256825924,0.155011654,8.091014862,1.275764942,11.45976734
70,-0.081188112,0.123076923,0.044303797,7.498869896,1.140395284,11.36603642
71,-0.184166357,0.257181942,0.217457116,9.427787781,1.0617311,12.64177895
72,NA,0.09504132,0.044534411,NA,0.941100299,10.36438751
73,-0.340820313,0.266917288,0.100346021,7.08673811,0.991596639,10.49709034
74,-0.31366989,0.254716992,0.117346942,7.593374252,1.017899752,10.88777351
75,0.120698184,0.229261249,0.119268075,9.762672424,1.070943475,13.2219286
76,-0.136911273,0.201591507,0.028571429,6.902742863,1.043607473,10.95525265
77,NA,0.092369474,0.029411765,NA,1.098795176,10.70649719
78,-0.13413015,0.226510063,0.063943163,7.455876827,1.044634938,11.03361511
79,-0.374615371,0.124365479,0.046189375,7.27170372,1.073113203,10.33468533
80,-0.160032511,0.034188036,0.012295082,7.226935863,1.012763262,10.80263233
81,-0.379361928,0.232456148,0.186619714,7.745435715,1.107831717,11.11810398
82,-0.525829494,0.077253222,0.020036429,7.883823395,0.983770609,11.36011219
83,-0.020435363,0.105263159,0.068376072,7.818430424,0.946275949,11.39985752
84,-0.363929152,0.062827222,0.004484305,7.22475338,1.004447222,10.46353149
85,-0.474290788,0.084615387,0.021582734,7.104144096,1.009515524,10.07995892
86,-0.341258734,0.164948449,0.023026315,7.338888168,1.119611144,11.5582428
87,-0.43267259,0.053097345,0.008064516,7.410346985,1.018686295,11.35057163
88,0.021244317,0.11797753,0.093922652,7.295734882,1.009936094,11.61057854
89,-0.172470987,0.168316826,0.078740157,7.23849678,0.996244133,11.55042362
90,-0.138271615,0.109243698,0.023529412,7.213768482,0.917325675,10.8795929
91,0.034624875,0.033112582,0.01183432,7.188412666,1.01376152,11.14742565
92,NA,0.098684214,0.007092198,NA,1.059555531,10.89135456
93,-0.209319279,0.282739073,0.279367656,10.98510647,1.03049314,14.30626869
94,-0.425869882,0.041666668,0.047058824,7.280697346,1.014976144,10.85853767
95,NA,0.078260869,0.022727273,NA,1.013131261,10.68594933
96,-0.601651847,0.125490203,0.014981274,7.446585178,1.066912532,11.46654606
97,-0.191506401,0.026455026,0,7.236339569,1.039455771,11.12247181
98,NA,0.190476194,0.145569623,NA,0.987854242,10.27677345
